Material,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz
Rough concrete,0.02,0.03,0.03,0.03,0.04,0.07
Smooth unpainted concrete,0.01,0.01,0.02,0.02,0.02,0.05
"Smooth concrete, painted or glazed",0.01,0.01,0.01,0.02,0.02,0.02
Porous concrete blocks (no surface finish),0.05,0.05,0.05,0.08,0.14,0.2
Clinker concrete (no surface finish),0.1,0.2,0.4,0.6,0.5,0.6
Smooth brickwork with flush pointing,0.02,0.03,0.03,0.04,0.05,0.07
"Smooth brickwork with flush pointing, painted",0.01,0.01,0.02,0.02,0.02,0.02
Standard brickwork,0.05,0.04,0.02,0.04,0.05,0.05
"Brickwork, 10mm flush pointing",0.08,0.09,0.12,0.16,0.22,0.24
Lime cement plaster on masonry wall,0.02,0.02,0.03,0.04,0.05,0.05
Glaze plaster on masonry wall,0.01,0.01,0.01,0.02,0.02,0.02
Painted plaster surface on masonry wall,0.02,0.02,0.02,0.02,0.02,0.02
Plaster on masonry wall with wall paper on backing paper,0.02,0.03,0.04,0.05,0.07,0.08
Ceramic tiles with smooth surface,0.01,0.01,0.01,0.02,0.02,0.02
Breeze block,0.2,0.45,0.6,0.4,0.45,0.4
Plaster on solid wall,0.04,0.05,0.06,0.08,0.04,0.06
"Plaster, lime or gypsum on solid backing",0.03,0.03,0.02,0.03,0.04,0.05
"Plasterboard on battens, 18mm airspace with glass wool",0.3,0.2,0.15,0.05,0.05,0.05
"Plasterboard on frame, 100mm airspace",0.3,0.12,0.08,0.06,0.06,0.05
"Plasterboard on frame, 100mm airspace with glass wool",0.08,0.11,0.05,0.03,0.02,0.03
Plasterboard on 50mm battens,0.29,0.1,0.05,0.04,0.07,0.09
Plasterboard on 25mm battens,0.31,0.33,0.14,0.1,0.1,0.12
"2 x plasterboard on frame, 50mm airspace with mineral wool",0.15,0.1,0.06,0.04,0.04,0.05
Plasterboard on cellular core partition,0.15,0,0.07,0,0.04,0.05
Plasterboard on frame 100mm cavity,0.08,0.11,0.05,0.03,0.02,0.03
"Plasterboard on frame, 100mm cavity with mineral wool",0.3,0.12,0.08,0.06,0.06,0.05
"2 x 13mm plasterboard on steel frame, 50mm mineral wool in cavity, surface painted",0.15,0.01,0.06,0.04,0.04,0.05
4mm glass,0.3,0.2,0.1,0.07,0.05,0.02
6mm glass,0.1,0.06,0.04,0.03,0.02,0.02
"Double glazing, 2-3mm glass, 10mm air gap",0.15,0.05,0.03,0.03,0.02,0.02
"3-4mm plywood, 75mm cavity containing mineral wool",0.5,0.3,0.1,0.05,0.05,0.05
"5mm plywood on battens, 50mm airspace filled",0.4,0.35,0.2,0.15,0.05,0.05
12mm plywood over 50mm airgap,0.25,0.05,0.04,0.03,0.03,0.02
12mm plywood over 150mm airgap,0.28,0.08,0.07,0.07,0.09,0.09
12mm plywood over 200mm airgap containing 50mm mineral wool,0.14,0.1,0.1,0.08,0.1,0.08
12mm plywood in framework with 30mm airspace behind,0.35,0.2,0.15,0.1,0.05,0.05
12mm plywood in framework with 30mm airspace containing glass wool,0.4,0.2,0.15,0.1,0.1,0.05
"Plywood, hardwood panels over 25mm airspace on solid backing",0.3,0.2,0.15,0.1,0.1,0.05
"Plywood, hardwood panels over 25mm airspace on solid backing with absorbent material in air space",0.4,0.25,0.15,0.1,0.1,0.05
12mm wood panelling on 25mm battens,0.31,0.33,0.14,0.1,0.1,0.12
"Timber boards, 100mm wide, 10mm gaps, 500mm airspace with mineral wool",0.05,0.25,0.6,0.15,0.05,0.1
"t & g board on frame, 50mm airspace with mineral wool",0.25,0.15,0.1,0.09,0.08,0.07
